Year Released,Album Length,Album Name,Artist
2018,18.78,Take Me Serious,DDG
2021,45.31,So Icy Christmas,Gucci Mane
2021,98.1,So Icy Boyz (Deluxe),Gucci Mane
2021,49.04,So Icy Boyz,Gucci Mane
2021,97.91,So Icy Boyz Instrumental,Gucci Mane
2021,51.2,Ice Daddy,Gucci Mane
2020,56.51,"So Icy Gang, Vol. 1",Gucci Mane
2020,80.32,Gucci Mane Presents: So Icy Summer,Gucci Mane
2019,42.92,East Atlanta Santa 3,Gucci Mane
2019,36.13,Woptober II,Gucci Mane
2019,58.01,Delusions of Grandeur,Gucci Mane
2018,50.76,Evil Genius,Gucci Mane
2017,30.68,El Gato: The Human Glacier,Gucci Mane
2017,61.22,Mr. Davis,Gucci Mane
2017,37.52,Droptopwop,Gucci Mane
2016,42.99,The Return of East Atlanta Santa,Gucci Mane
2016,43.51,WOPTOBER,Gucci Mane
2016,52.35,Everybody Looking,Gucci Mane
2016,47.17,Birds of a Feather 2,Don Mega
2016,119.53,Meal Ticket,Gucci Mane
2016,58.8,"Gucci Vs. C-Note, 2",Gucci Mane
2016,195.08,Greatest Mixtape Hits,Gucci Mane
2016,96.29,El Chapo's Home,Gucci Mane
2015,38.49,East Atlanta Santa 2,Gucci Mane
2015,63.33,"Wilt Chamberlain, Pt. 4",Gucci Mane
2015,68.04,"Wilt Chamberlain, Pt. 2",Gucci Mane
2015,77.43,"Wilt Chamberlain, Pt. 6",Gucci Mane
2015,75.59,Kitchen Talk,Gucci Mane
2015,73.95,Goochsomnia,Gucci Mane
2015,75.46,So Icey Boy 2,Gucci Mane
2022,58.13,DS4EVER,Gunna
2021,98.14,Slime Language 2 (Deluxe),Young Stoner Life
2021,75.24,Slime Language 2,Young Stoner Life
2020,72.68,WUNNA (Deluxe),Gunna
2020,50.11,WUNNA,Gunna
2019,48.26,Drip or Drown 2,Gunna
2018,52.07,Drip Season 3 (Deluxe),Gunna
2018,42.38,Drip Season 3,Gunna
2017,20.18,Drip or Drown,Gunna
2017,20.18,Drip or Down,Gunna
2017,50.7,Drip Season 2,Gunna
2016,35.35,Drip Season,Gunna
